split,sentence_id,token_id,token,label
train,1,1,Sara,B-PERSON
train,1,2,Ahmed,I-PERSON
train,1,3,joined,O
train,1,4,Systems,B-ORGANIZATION
train,1,5,Limited,I-ORGANIZATION
train,1,6,in,O
train,1,7,Saudi,B-LOCATION
train,1,8,Arabia,I-LOCATION
train,1,9,on,O
train,1,10,March,B-DATE
train,1,11,2026,I-DATE
train,1,12,to,O
train,1,13,work,O
train,1,14,on,O
train,1,15,transformer,B-DOMAIN_TERM
train,1,16,architecture,I-DOMAIN_TERM
train,1,17,.,O
train,2,1,Zainab,B-PERSON
train,2,2,Iqbal,I-PERSON
train,2,3,presented,O
train,2,4,a,O
train,2,5,project,O
train,2,6,on,O
train,2,7,model,B-DOMAIN_TERM
train,2,8,fine,I-DOMAIN_TERM
train,2,9,tuning,I-DOMAIN_TERM
train,2,10,at,O
train,2,11,Arbisoft,B-ORGANIZATION
train,2,12,during,O
train,2,13,15,B-DATE
train,2,14,July,I-DATE
train,2,15,2026,I-DATE
train,2,16,.,O
train,3,1,NetSol,B-ORGANIZATION
train,3,2,Technologies,I-ORGANIZATION
train,3,3,announced,O
train,3,4,a,O
train,3,5,new,O
train,3,6,natural,B-DOMAIN_TERM
train,3,7,language,I-DOMAIN_TERM
train,3,8,processing,I-DOMAIN_TERM
train,3,9,team,O
train,3,10,in,O
train,3,11,Pakistan,B-LOCATION
train,3,12,on,O
train,3,13,next,B-DATE
train,3,14,Friday,I-DATE
train,3,15,.,O
train,4,1,Jamal,B-PERSON
train,4,2,Masood,I-PERSON
train,4,3,is,O
train,4,4,an,O
train,4,5,engineer,O
train,4,6,from,O
train,4,7,Rawalpindi,B-LOCATION
train,4,8,with,O
train,4,9,experience,O
train,4,10,in,O
train,4,11,LangChain,B-DOMAIN_TERM
train,4,12,.,O
train,5,1,Systems,B-ORGANIZATION
train,5,2,Limited,I-ORGANIZATION
train,5,3,is,O
train,5,4,hiring,O
train,5,5,graduates,O
train,5,6,skilled,O
train,5,7,in,O
train,5,8,semantic,B-DOMAIN_TERM
train,5,9,search,I-DOMAIN_TERM
train,5,10,for,O
train,5,11,its,O
train,5,12,Doha,B-LOCATION
train,5,13,office,O
train,5,14,.,O
train,6,1,Mehwish,B-PERSON
train,6,2,Akhtar,I-PERSON
train,6,3,will,O
train,6,4,attend,O
train,6,5,an,O
train,6,6,interview,O
train,6,7,at,O
train,6,8,Afiniti,B-ORGANIZATION
train,6,9,on,O
train,6,10,December,B-DATE
train,6,11,2025,I-DATE
train,6,12,.,O
train,7,1,The,O
train,7,2,MLOps,B-DOMAIN_TERM
train,7,3,system,O
train,7,4,was,O
train,7,5,developed,O
train,7,6,by,O
train,7,7,National,B-ORGANIZATION
train,7,8,University,I-ORGANIZATION
train,7,9,of,I-ORGANIZATION
train,7,10,Sciences,I-ORGANIZATION
train,7,11,and,I-ORGANIZATION
train,7,12,Technology,I-ORGANIZATION
train,7,13,in,O
train,7,14,Gulberg,B-LOCATION
train,7,15,Lahore,I-LOCATION
train,7,16,.,O
train,8,1,Fatima,B-PERSON
train,8,2,Noor,I-PERSON
train,8,3,used,O
train,8,4,BIO,B-DOMAIN_TERM
train,8,5,tagging,I-DOMAIN_TERM
train,8,6,to,O
train,8,7,improve,O
train,8,8,a,O
train,8,9,product,O
train,8,10,built,O
train,8,11,for,O
train,8,12,Lahore,B-ORGANIZATION
train,8,13,University,I-ORGANIZATION
train,8,14,of,I-ORGANIZATION
train,8,15,Management,I-ORGANIZATION
train,8,16,Sciences,I-ORGANIZATION
train,8,17,.,O
train,9,1,Confiz,B-ORGANIZATION
train,9,2,released,O
train,9,3,its,O
train,9,4,large,B-DOMAIN_TERM
train,9,5,language,I-DOMAIN_TERM
train,9,6,models,I-DOMAIN_TERM
train,9,7,research,O
train,9,8,report,O
train,9,9,in,O
train,9,10,26,B-DATE
train,9,11,June,I-DATE
train,9,12,2026,I-DATE
train,9,13,.,O
train,10,1,Ali,B-PERSON
train,10,2,Raza,I-PERSON
train,10,3,moved,O
train,10,4,to,O
train,10,5,Karachi,B-LOCATION
train,10,6,in,O
train,10,7,26,B-DATE
train,10,8,June,I-DATE
train,10,9,2026,I-DATE
train,10,10,and,O
train,10,11,started,O
train,10,12,learning,O
train,10,13,prompt,B-DOMAIN_TERM
train,10,14,engineering,I-DOMAIN_TERM
train,10,15,.,O
train,11,1,Mahnoor,B-PERSON
train,11,2,Rehman,I-PERSON
train,11,3,joined,O
train,11,4,CureMD,B-ORGANIZATION
train,11,5,in,O
train,11,6,Johar,B-LOCATION
train,11,7,Town,I-LOCATION
train,11,8,on,O
train,11,9,June,B-DATE
train,11,10,2026,I-DATE
train,11,11,to,O
train,11,12,work,O
train,11,13,on,O
train,11,14,multi,B-DOMAIN_TERM
train,11,15,agent,I-DOMAIN_TERM
train,11,16,systems,I-DOMAIN_TERM
train,11,17,.,O
train,12,1,Omar,B-PERSON
train,12,2,Farooq,I-PERSON
train,12,3,presented,O
train,12,4,a,O
train,12,5,project,O
train,12,6,on,O
train,12,7,FastAPI,B-DOMAIN_TERM
train,12,8,at,O
train,12,9,Google,B-ORGANIZATION
train,12,10,during,O
train,12,11,October,B-DATE
train,12,12,2026,I-DATE
train,12,13,.,O
train,13,1,Google,B-ORGANIZATION
train,13,2,announced,O
train,13,3,a,O
train,13,4,new,O
train,13,5,feature,B-DOMAIN_TERM
train,13,6,engineering,I-DOMAIN_TERM
train,13,7,team,O
train,13,8,in,O
train,13,9,Faisalabad,B-LOCATION
train,13,10,on,O
train,13,11,April,B-DATE
train,13,12,2025,I-DATE
train,13,13,.,O
train,14,1,Mahnoor,B-PERSON
train,14,2,Rehman,I-PERSON
train,14,3,is,O
train,14,4,an,O
train,14,5,engineer,O
train,14,6,from,O
train,14,7,Gulberg,B-LOCATION
train,14,8,Lahore,I-LOCATION
train,14,9,with,O
train,14,10,experience,O
train,14,11,in,O
train,14,12,REST,B-DOMAIN_TERM
train,14,13,API,I-DOMAIN_TERM
train,14,14,.,O
train,15,1,Lahore,B-ORGANIZATION
train,15,2,University,I-ORGANIZATION
train,15,3,of,I-ORGANIZATION
train,15,4,Management,I-ORGANIZATION
train,15,5,Sciences,I-ORGANIZATION
train,15,6,is,O
train,15,7,hiring,O
train,15,8,graduates,O
train,15,9,skilled,O
train,15,10,in,O
train,15,11,model,B-DOMAIN_TERM
train,15,12,fine,I-DOMAIN_TERM
train,15,13,tuning,I-DOMAIN_TERM
train,15,14,for,O
train,15,15,its,O
train,15,16,Karachi,B-LOCATION
train,15,17,office,O
train,15,18,.,O
train,16,1,Zainab,B-PERSON
train,16,2,Iqbal,I-PERSON
train,16,3,will,O
train,16,4,attend,O
train,16,5,an,O
train,16,6,interview,O
train,16,7,at,O
train,16,8,National,B-ORGANIZATION
train,16,9,University,I-ORGANIZATION
train,16,10,of,I-ORGANIZATION
train,16,11,Sciences,I-ORGANIZATION
train,16,12,and,I-ORGANIZATION
train,16,13,Technology,I-ORGANIZATION
train,16,14,on,O
train,16,15,15,B-DATE
train,16,16,July,I-DATE
train,16,17,2026,I-DATE
train,16,18,.,O
train,17,1,The,O
train,17,2,feature,B-DOMAIN_TERM
train,17,3,engineering,I-DOMAIN_TERM
train,17,4,system,O
train,17,5,was,O
train,17,6,developed,O
train,17,7,by,O
train,17,8,Afiniti,B-ORGANIZATION
train,17,9,in,O
train,17,10,Faisalabad,B-LOCATION
train,17,11,.,O
train,18,1,Hira,B-PERSON
train,18,2,Shah,I-PERSON
train,18,3,used,O
train,18,4,retrieval,B-DOMAIN_TERM
train,18,5,augmented,I-DOMAIN_TERM
train,18,6,generation,I-DOMAIN_TERM
train,18,7,to,O
train,18,8,improve,O
train,18,9,a,O
train,18,10,product,O
train,18,11,built,O
train,18,12,for,O
train,18,13,Arbisoft,B-ORGANIZATION
train,18,14,.,O
train,19,1,Lahore,B-ORGANIZATION
train,19,2,University,I-ORGANIZATION
train,19,3,of,I-ORGANIZATION
train,19,4,Management,I-ORGANIZATION
train,19,5,Sciences,I-ORGANIZATION
train,19,6,released,O
train,19,7,its,O
train,19,8,feature,B-DOMAIN_TERM
train,19,9,engineering,I-DOMAIN_TERM
train,19,10,research,O
train,19,11,report,O
train,19,12,in,O
train,19,13,today,B-DATE
train,19,14,.,O
train,20,1,Ali,B-PERSON
train,20,2,Raza,I-PERSON
train,20,3,moved,O
train,20,4,to,O
train,20,5,United,B-LOCATION
train,20,6,Arab,I-LOCATION
train,20,7,Emirates,I-LOCATION
train,20,8,in,O
train,20,9,January,B-DATE
train,20,10,2025,I-DATE
train,20,11,and,O
train,20,12,started,O
train,20,13,learning,O
train,20,14,LangGraph,B-DOMAIN_TERM
train,20,15,.,O
train,21,1,Zainab,B-PERSON
train,21,2,Iqbal,I-PERSON
train,21,3,joined,O
train,21,4,Arbisoft,B-ORGANIZATION
train,21,5,in,O
train,21,6,Riyadh,B-LOCATION
train,21,7,on,O
train,21,8,next,B-DATE
train,21,9,Friday,I-DATE
train,21,10,to,O
train,21,11,work,O
train,21,12,on,O
train,21,13,BIO,B-DOMAIN_TERM
train,21,14,tagging,I-DOMAIN_TERM
train,21,15,.,O
train,22,1,Mehwish,B-PERSON
train,22,2,Akhtar,I-PERSON
train,22,3,presented,O
train,22,4,a,O
train,22,5,project,O
train,22,6,on,O
train,22,7,MLOps,B-DOMAIN_TERM
train,22,8,at,O
train,22,9,Confiz,B-ORGANIZATION
train,22,10,during,O
train,22,11,26,B-DATE
train,22,12,June,I-DATE
train,22,13,2026,I-DATE
train,22,14,.,O
train,23,1,Confiz,B-ORGANIZATION
